Certification_body,Registration_number
"ООО ""МГТ""",9723102106
"ФБУ ""ЦСМ ИМ. А.М. МУРАТШИНА В РЕСПУБЛИКЕ БАШКОРТОСТАН""",278002498
"ООО ""ДКС РУС""",7606128499
"ООО ""ИНТЕРСЕРТИФИКА""",9728048156
"АО ""КВОЛИТИ +""",9703083021
"ООО ""ПРОМСТАНДАРТ""",6316256218
"ООО ""ЭКСПЕРТ ГРУПП""",2130144342
"ООО ""ВНИИСЕРТ""",7733328885
АО НДЦ НПФ «РУССКАЯ ЛАБОРАТОРИЯ»,7801082551
"ООО ""ВЕРТЕСТ""",7733263934
"АО ""РТ-ТЕХПРИЕМКА""",7714710760
"ООО ""РУССКИЙ ЭКСПЕРТ""",5036107324
"ООО ""ЦТКАО""",7705953735
"ООО ""ЦСК ""ПЕРМЬ-СТАНДАРТ-ТЕСТ""",5902140647
НТФ «СЦ «КОНТСТАНД»,7734149840
"ООО ""ЦССМ""",6829082461
"ФАУ ""РОССИЙСКИЙ МОРСКОЙ РЕГИСТР СУДОХОДСТВА""",7803052947
"ООО ""НСЦ ""Аспект-СЕРТ""",7720787190
"ООО ""ПРОНАП""",7453270456
"ООО ""СОЮЗСЕРТ""",7714323923
"ФБУ ""РОСТЕСТ-МОСКВА""",7727061249
"ФБУ ""КИРОВСКИЙ ЦСМ""",4346002168
"АНО НТЦ ""ТЕХНОПРОГРЕСС""",7723534776
"ООО ""РЦС""",7224044688
"ООО ""РУСТЕХСЕРТ""",6670121450
АССОЦИАЦИЯ РУССКИЙ РЕГИСТР,7825457880
"ООО ССУ ""ДЭКУЭС""",7606044591
"ЧУ ""ЦССК ""ИНТЕРЭКОМС""",7734188013
"АНО ""ЦМКС""",7453100944
"ООО ""КЦ ""ПЕРСПЕКТИВА""",7701665503
"ООО ""МСС""",7710581786
"ООО НЦС ""Менеджмент""",5260170853
ООО ПРОМСТРОЙ-СЕРТИФИКАЦИЯ,7714156856
"ООО ""Самарский ЦИС""",6312046805
"ФБУ ""ТАМБОВСКИЙ ЦСМ""",6833002042
"ООО ""ЮГ-ТЕСТ""",6163064851
"ФГУП ""НАМИ""",7711000924
ФБУ «Крымский ЦСМ»,9102031678
"ООО ""ЭЛМАС""",5052001759
"ООО ""Новастандарт""",7716778475
ООО «РОСТ»,7724306821
ГОЦИСС,7810915827
"ФБУ ""Самарский ЦСМ""",6311012306
"АО ""Бюро Веритас Сертификейшн Русь""",7709670368
"СОЮЗ ""ЮЖНО-УРАЛЬСКАЯ ТОРГОВО-ПРОМЫШЛЕННАЯ ПАЛАТА""",7451016239
"ООО ""МОНОЛИТ-Серт""",7713411574
ООО «РЦСМ «РЕГИОН-СТАНДАРТ»,1831105614
"АО ""РОСТЕСТ""",7706278628
"АО ""РСМЦ ""ТЕСТ-ТАТАРСТАН""",1660061040
"ФБУ ""КУЗБАССКИЙ ЦСМ""",4207007095
"ФБУ ""УЛЬЯНОВСКИЙ ЦСМ""",7303001430
"ООО ""ПРОМСТРОЙСЕРТИФИКАЦИЯ""",7705705806
"АНО ""СЦ СВЯЗЬ - СЕРТИФИКАТ""",7731186699
"ООО ""Новосибирский ЦСМ""",5401201306
"ООО ""НУЦ ""КАЧЕСТВО""",7715552355
"ООО ""Тест-С.-Петербург""",7826172863
"ФБУ ""КРАСНОЯРСКИЙ ЦСМ""",2464019742
"ООО ""АКАДЕМИЯ-СЕРТ""",7723538675
"АНО ""НТЦ ""АЛЬФА РЕГИСТР""",7730185614
